Chistes,id
Cómo puedes meter 1000 judíos en un vocho??? En el cenicero,2176
"¿Cómo te reconoceré? Mido 1,60 y peso 58 kgs. ¿Y yo a ti? Llevo una cinta métrica y una báscula",2177
"Pasaron los Reyes magos por África y le preguntan a los niños ¿Ya comieron?. le responden los negritos ""NOO"" -Entonces no hay regalos!!",2178
Que pide de deseo un niño ucraniano cuando ve una estrella fugaz??? Que sea una estrella fugaz.,2179
"""Wey, te cambio uno de 10 por dos de 5. Andale"" -2 curas, negociando.",2180
Que hace un niño del Teletón después de un terremoto? R= Buscando Brazos y piernas de su talla.,2181
"En una camioneta viaja: un Mexicano, un Boliviano y un Cubano, ¿Quién maneja la camioneta? El oficial de migración de USA 🤣🤣🤣🤣🤣",2182
"Si un niño va caminando y se cae sólo, es porque a alguien más se le antojó",2183
"Una vez en una videollamada con mi BFF (andando cada una en la peda), señalé una alberca a mis espaldas y le dije ""hoy quiero acabar bien Devani!"", luego hubo un ""noooo te pases"" entre risas, y luego unas carcajadas. (Todos sabemos a quién nos referimos).",2184
"Yo no soy homofobico, porque la fobia es miedo y el miedo es de putos😅😅",2185
"Sabes a que huele un vestidor después de los juegos olímpicos? A sudor y desodorante Ahora, sabes a que huele un vestidor después de los juegos paralímpicos? Exacto a castrol y clutch",2186
-“Mamá en la escuela me apodaron simba” -“por qué hijo?” - “Porque mi tío mató a mi papá”,2187
José viendo como María le fue infiel con el espiritu santo,2188
"No es por defender al policía qué m4to a George Floyd ahorcandolo, pero seamos sinceros, era imposible darse cuenta que se estaba poniendo morado. 👀",2189
"Había una familia tan pobre pero tan pobre, que cuando a la mamá le bajaba, todos cenaban moronga 🥁",2190
"Empleado- Jefe no puedo ir a trabajar, estoy enfermo. Jefe. Enfermo? Que está haciendo o qué? Empleado - Me estoy cogiendo a mi hermana. Jefe. Oiga! Eso está muy mal!! Empleado - Le estoy diciendo que estoy enfermo. 🫡",2191
"Desde la ""tragedia de Los Andes"" las aerolíneas en lugar de ofrecerte el menú te dan la lista de pasajeros...",2192
Adónde van las lesbianas cuando mueren? Al infierno. Por qué? Porque al diablo le encanta el olor a torta frita.,2193
"-de quien está boquita? Y ésta naricita? Y ésta piernita? -no se, está morgue es un quilombo",2194
"Una villera tiene 4 pibes, les pone Brian, Brian, Brian y Brian. Cómo los distingue? Los llama por el apellido",2195
Por qué existen homófobos en pleno Siglo XXI? Porque pueden reproducirse,2196
"- Hola, ¿con la AMIA? - Si - ¿Está Sharon?",2197
Que hace un leproso tocando la guitarra? Carne picada,2198
Que son 10 negros en una pared? Un código de barras,2199
Que hacen 10 cuadriplejicos tirándose de un piso 20? Juegan al tetris,2200
"Una adivinanza: Que es blanco y finito cuando está seco, y se hincha y se pone morado cuando se lo moja? Si, Maldonado.",2201
"El tipo esperando en el pasillo el nacimiento de su bebé. Sale el médico con el bebé y le dá los clásicos golpecitos para que llore, y le dá y le dá. El padre se levanta para ir a cagarlo a trompadas. - Tranquiiii amigo, nació muerto!",2202
En que se diferencia una paloma de un nene sirio? La paloma vuela entera,2203
"- Papá, papá, qué es el humor negro? - Bueno, ves ese nene que va caminando por la vereda de enfrente? - Pero papá, si soy ciego! - Bueno, eso.",2204
¿Que es mejor que ganar los paralímpicos? Caminar,2205
en qué se diferencia un boy scout y un judio? en qué el boy scout si vuelve del campo,2206
Cual es el organo que se mantiene caliente dentro de una mujer recien fallecida? Mi chota,2207
Que tiene en comun una iglesia abandonada y un huérfano? Ninguno tiene papa. ,2208
"-Papá, papá ¿qué es un degenerado? -Callate y segui chupando",2209
Sabías que una mujer inventó el wifi? Por eso hay que pegarle al router para que ande.,2210
En q se parece la apendicitis y un cura? Q no sabes cuabdo.... Perp en cualquier momento te toca,2211
Cómo matas 500 moscas de un solo golpe? Le pateas la cabeza a un nene somali muerto,2212
"Que es negro, flaco y funciona con golpes en la cabeza? Es clavo",2213
Como saben en USA que está por empezar el año escolar? Están en oferta los chalecos de Kevlar.,2214
"Va un hombre con una nenita al monte, en cierto punto la nenita le dice, me da miedo el monte y el tipo le contesta imagínate a mi que tengo que volver solo",2215
"Que camina a la mañana Anda en dos ruedas a la tarde Y no camina a la noche? Exacto, el Noba",2216
¿Cual es el colmo de un paciente terminal? Tener metastasis y ser de cancer,2217
"Que es rojo, chiquito y se disuelve en la boca? El clítoris de una leprosa ",2218
Que es rosado y redondo y cada vez se pone más chiquito y color rojo? Un bebé peinándose con un pelapapas.,2219
"Una esposa dice: Mi marido no me ha puesto la mano encima nunca, el esposo está sin brazos",2220
Cosas que pasan dijo el aduanero,2221
Vamos a organizarnos dijo el que estaba en una orgía,2222
"esta vez no me cagan, dijo el que volvía con la ex",2223
A pelarse dijo el loco y se tiró de la moto,2224
No se si voy o vengo dijo el que se estaba hamacando,2225
yo no soy muy bueno haciendo esto dijo el cirujano,2226
No hay vuelta que darle dijo el que dormia en un muro,2227
Hay para rato dijo el que comia pasto,2228
Vamos por partes dijo Jack,2229
Que se pudra todo dijo el que desenchufo el freezer,2230
- Y como andamos? - Y 10 puntos dijo el que ligó un machetazo,2231
"Que nivel, dijo el albañil",2232
"Vamos a ver que sale, dijo el que se estaba cogiendo a la prima",2233
m voy a la verga dijo el forro,2234
Asi quedamos dijo el virolo,2235
-Un chiste verde y rápido Un brócoli en moto,2236
En la lucha dijo el japonés que se estaba bañando,2237
"""Todo fríamente calculado "" dijo el necrofilico",2238
Son cosas que pasan dijo la vieja con un palo en el orto,2239
No puedo estudiar derecho dijo el jorobado,2240
Me voy yendo dijo el que tenía cáncer,2241
que se pudra todo dijo el carnicero y se fue de viaje,2242
por las dudas dijo el que llevaba forros a la casa de la prima,2243
Mala mía dijo el maluma,2244
Hay para rato dijo el loco y estaba comiendo arena,2245
Negocio redondo dijo el que vendía pelotas,2246
nunca t voyba dejar a pata dijo michetti,2247
Tá frio dijo el que tenía el huevo afuera,2248
— Hoda buapa ta tu madido en casa? — No. — Pod adómate a ved di soy yo.,2249
"Era una mujer tan chiquita, tan chiquita que en lugar de dar a luz, daba chispitas.",2250
"Anoche me caí de la cama. Menos mal que me desperté, sino está mañana me habría pisado al levantarme.",2251
"—Está usted detenido. —Mire agente, ahora me estoy moviendo. —Qué listo es el jodío...",2252
–Camarero. Una tostada sin nada. –Marchando una tostada con mermada de melocotón.,2253
"- Hola, de qué sabores tiene los helados? - Hay un cartel en la puerta donde lo pone. - Pues deme uno de ""cerramos los lunes""",2254
"-mamá mamá, ¿el váter da vueltas? -no hijo. -pues me cagao en la lavadora.",2255
Va un niño a la tienda del pueblo y le dice al dependiente - Ha dicho mi madre que me de una barra de pan... y si tiene huevos una docena Y SALIÓ CON UNA DOCENA DE BARRAS,2256
"En un banquete... Se levanta el padrino mu mosqueado - A VER, LOS INVITADOS DE LA NOVIA A LA DERECHA... LO INVITADOS DEL NOVIO A LA IZQUIERDA Se colocan todos en su sitio - A VER, LOS DE LA DERECHA Y LOS DE LA IZQUIERDA.... A LA PUTA CALLE.... ESTO ES UNA COMUNIÓN",2257
"Años 50. La Guardia Civil sorprende a unos gitanos robando melos - ALTO, ¿QUIEN VIVE? - UZTEDEE, QUE TIENEN ECONOMATO (si sabéis lo que es un economato ya os han puesto la cuarta dosis de vacuna)",2258
-¿Qué se ve desde la torre más alta de Toronto? -Torontontero.,2259
¿A qué hora sale el rápido? Ya.,2260
"Había un hombre que tenía un gato llamado Tido. Siempre que llegaba a casa, Tido, el gato, estaba metido en su cesto. Un día como otro cualquiera, el hombre llegó a casa y Tido no se encontraba en el cesto. Como se llama la peli? El cesto sin tido",2261
Van dos globos por el desierto y le dice uno a otro - ¡¡¡¡¡cuidado con el cactussssssssss!!!!,2262
- Me sé un chiste de informáticos - ¡Pues yo MS-DOS!,2263
"Mamá, mamá ¿las aceitunas negras tienen patas? No, hijo, no. Pues me he comido una cucaracha. 🤮Cuidado con este, que con tiempo, dejará de ser un chiste. 😜",2264
"En el confinamiento: -Nene, si cierran los supermercados habrá que ir a cazar…tú sabes dónde viven las croquetas?",2265
—Íbamos en el todoterreno y a mi mujer le dio un espasmo muscular de esos del parto. —¿Contracción? —A las cuatro ruedas.,2266
"- Hijo, te quedó muy bonito el tatuaje de Satanás del brazo. - ¡Mamaaaaaa, es mi novia! - Ahhhh.",2267
"Un gitano que va con una furgoneta destartalada le para la guardia civil... ¡Documentación por favor!!! Ahi pallo. Ayer me la quitáis, hoy me la pedís... Al final me la vais a perdelllllll jajajajajajaja.....",2268
"- Tengo todo el cuerpo cubierto de pelo. Doctor, ¿qué padezco? - Padece uzté ud ozito.",2269
"Buenos días, me pone dos pescados de esos? De rape? Hiiiiiiiii... Me pone dos pescados de esos?",2270
Muy buenas! Están buenas esas magdalenas? - muy buenas! Muy buenas que si están buenas esas madalenas? - muy buenas...,2271
"Camarero me pone un café, me cago en dios! -solo? Y en la virgen puta.",2272
¿Sabéis que es un cazo? Un suzezo,2273
"Cuando yo voy, tú… no sé tú, pero yo… ¡Qué lío! Ya no sé si eres tú o soy yo, pero aquí estamos. ",2274
"Chiste no apto para animalistas ni vegano. Papá papa, el gato está malo. Niño, calla y come.",2275
- Le he puesto a mi hijo gafas. - Pues que nombre más raro,2276
"Uno que va a la consulta de un adivino, llama a la puerta: - Toc, Toc. - ¿Quien es? - pues vaya mierda de adivino.",2277
- No mires así al vecino que podría ser tu padre!. - Es que está muy bueno mamá. - No me has entendido.,2278
- Ayer me dieron por detrás en el coche. - Hay mucho loco en la carretera. - No me has entendido.,2279
Tienes hora? -Si,2280
"- ¿Qué hora es? -Las 10,45 -!!Coño qué tarde!! -!!Pues haber preguntado antes!!",2281
"-María, bajas a tomar un café? -No puedo...estoy en cama con amígdalas. -Jo, tía! Qué suerte tienes que siempre ligas con los griegos.",2282
Por qué Arnold Schwarzenegger quiere ser rodilla? Porque Sylvester Stallone.,2283
"- Mamá, mamá, en el cole me llaman bola de pelo. - Cariñoo, el perro está hablando!!",2284
"Un niño de unos ocho años en un pueblo va caminando llevando a una vaca, se encuentra a un vecino que le pregunta; -Pedrito, a donde vas con la vaca? -A llevarla a que la monte el toro, don Vicente. - y eso no lo puede hacer tú padre? -No, tiene que ser el toro",2285
_ ¿Cómo estornuda un tómate? _ ¡¡¡¡Kétchupppp!!!!,2286
"Dos amigas que se encuentran tras mucho tiempo - Que bonitos los trillizos que has tenido - No son trillizos, es que es un niño muy nervioso",2287
Qué le dice una Braga a otra? - Qué coño nos ponemos hoy?,2288
[En la piscina]. — ¿Usted no nada nada? — Es que no traje traje.,2289
"— ¿Qué te ha dicho el juez? — Que 30.000 euros o a la cárcel. — No seas tonto, coge el dinero.",2290
"+Mohamed, quieres comer algo? -Es Halal ? +Mohamed, quieres jalal algo?",2291
"- ¿Qué tal las notas, hija? + Pues unas más y otras menos, Papá. - ¿Eh? + ¿Eh?",2292
"- Mira, por ahí viene Julián. Hazte la tonta. - ¡Adioó Juudián!",2293
"-Tienen consoladores? -Si,en aquella pared los tiene -Deme el rojo grande ese - Señora,eso es el extintor",2294
"- Mi gato ha matado a tu perro - Pero si es un rotweiller - Ya... y mi gato, hidráulico.",2295
-Como me toque la lotería me voy a comprar un millón de palomas -Mensajeras? -No te exagero nada,2296
"Ser piloto, no apagar la megafonía y decir: -En serio que con mi “wonderbox” puedo pilotar el avión yo solo?",2297
"- ¿Y tu mujer grita mucho mientras hace el amor? - Buff, ya te digo, la escucho desde el bar…",2298
"A falta de un chistecito, pues dos... y los dos de doctores, eh! - Doctor, doctor... ¡oscúlteme! - ¡Rápido, debajo de la mesa! - Doctor, que me quemé - ¿Que te que té?",2299
"- Paco, he engordado? - cari, diga lo que te diga... Prometes no enfadarte? - si, lo prometo. - me he tirado a tu hermana",2300
Esto di que va un barco a un muelle ¡y rebota!,2301
"- ¡Soldado López! - ¡Sí, mi capitán! - No lo vi ayer en la prueba de camuflaje. - ¡Gracias, mi capitán!",2302
"—Hola, guapa ¿Cómo te llamas? —Jara —¡Hala, qué bonito y exótico! ¿No? —¡Jí!",2303
"- Esto es un atraco!! Deme la cartera o la degollo! + La de Goyo por favor, la de Goyo!!",2304
Me he comprado un vehículo con 7 plazas y para mi sorpresa estaba lleno de marroquíes. Era un morovolumen.,2305
Subid la velas!!! Y los de abajo se quedaron a oscuras.,2306
¿Cómo le gustan a Bunbury las tapas? A la plaaaaanchaaaa...,2307
Entra un gangoso a una tienda de deportes… -Me da uda zadpadtilla de depodted? +Puma? -Vendga ece cigadito!!!!,2308
"2 tomates en una nevera y dice uno ""hola"" y contesta el otro "" coño un tomate que habla"".",2309
Doctor quiero una vaginoplastia. - Pues vamos a empezar por detrás de las orejas que esto tiene difícil arreglo.,2310
