id,Chistes
2061,Porqué estados unidos es malo en el ajedrez? Porque le faltan dos torres
2062,When te pica un huevo Maldito huevo
2063,Por qué reino unido no puede jugar ajedrez? Porque perdieron a la reina
2064,"Mi bisabuela fue inmigrante de Rusia, como no tenía mucho puso un puesto de paja para ganado el cual tuvo éxito. Por eso le conocían como la reina de la paja rusa."
2065,Que le dice un molusco a otro molusco? Como-luzco?
2066,Que tienen en comun una pizza quemada y una embarazada? Que alguien no la saco a tiempo.
2067,"Querido terricola: soy un extraterrestre de una galaxia muy lejana donde podemos adoptar cualquier forma, en estos momentos me he convertido en este mensaje y a través de tus pupilas, te estoy metiendo un dedo en el culo, se que te está gustando porque est-as sonriendo, Porfis enviame a otras personas porque en verdad ando buscando más culos. Y deja de reírte que se van a dar cuenta."
2068,PAPA PAPA deja de tirarme guacamole por la cabeza CALLATE NACHO
2069,Viene la policía y mata a una persona. Quién es el malo??? El chiste
2070,Bebe repeat after me: Podemos no podemos
2071,El niño de la calle hipnotizandome para que lo atropelle mientras busca su pelota
2072,"No se usa más papel Emma, *se usa el Ipad para limpiar el papel higiénico*"
2073,Si el temach estuviera lavando y ve que empieza a llover: noooo mi ropa
2074,Así que eres jugador de Brawl Stars: Aver dime 7 mejores formas de chupar pitos
2075,Un sordo gana una subasta y dice: GANE pero a que costo
2076,Un padre religioso crea un juego sobre castores: un random diciendo que parecen animatrónicos
2077,¿Qué está al final de todo? La letra o
2078,Que le dice un gusano a otro? Voy a dar una vuelta a la manzana
2079,Correee que vienen
2080,Sabes cómo conquistar a una buena judía? Estás que arde-
2081,"Piso una tumba del cementerio, el fan de madness combat: Mi pueblo no se toca"
2082,Sabes por qué un comediante fue al gym? Para hacer chistes fuertes
2083,Van dos y se cae el del medio
2084,"Comida culera, pizzas culeras, la que atiende tiene mala cara, se tardan de a montón, pero las películas están bien chidas"
2085,Que tienen en común pizza tower a un avión En que los dos tienen que destruir a una torre
2086,"Qué haces después de abusar a un mudo, le cortas las manos para que no se lo diga nadie"
2087,Saben cuál es el colmo de un agricultor? Tener a un hijo en estado vegetal
2088,como llama un vaquero a su hija? HIIIIIIJAAAAAAAAAA
2089,en qué se diferencian un cuadro de Jesucristo y Jesucristo? Que al cuadro se le puede colgar de un solo clavo
2090,Qué es rojo y malo para los dientes? Un ladrillo
2091,"Hay dos paquetes de Cheetos, uno le dice al otro Tío vamos a meternos en un camión de cheetos que hay ahí parado, el otro le dice no macho es mala idea, y le responde que no tu tranquilo se meten, y una vez ahí se comen al que dió la idea de ir, y el otro dice paquete-metes macho"
2092,"Una pareja de casados estan hablando el hombre dijo: ""Quisiera tener otros dos niños con nosotros."" Ella dice: ¿Esos 2 que están ahi, que son? El dice: Eso son para el almuerzo y los otros 2 lo queria para la cena."
2093,Que tiene 50 piernas pero no camina? 25 discapacitados
2094,Ohana significa metanfetamina
2095,¿Qué tienen en común una piscina y el Titanic? Que ambos tardaron en llenarse
2096,Como se llama el sotano de Iron Man? Iron know
2097,Yo abono una planta La planta: me han abonado Yo después de ver que la planta habló: qué La planta: so
2098,"Llega un judío a la pizzería y pide dos familiares Y el vendedor le dice ""Están en el horno joven"""
2099,Qué le tienes que dar a una persona para que pinte un cuarto en un segundo? Una granada
2100,"Un hombre frotó la lámpara y un genio salió de ella ""Te concederé tres deseos"" dijo el genio ""Mi primer deseo es que todas las palabras empiecen con fh"" ""Fheseo fhoncedido"" ""Fhi fhegundo fheseo fhes fhe fhodas fhas fhalabras fherminen fhor pshk"" ""Fheseophsk fhoncedidopshk"""
2101,"Cuáles son las 5 partes blancas de un negro? Los pies, las manos, los dientes y el dueño"
2102,-Sabes que le regalaron a una niña sin brazos -no se aún no lo abre
2103,A tu madre le disen bisagra oxidada por que la abres y se pone a chillar
2104,"Paso uno un poco funable y conocido pero que hizo reír a meta ai. Ahí va: A) Sabes porque la reina es la mejor pieza del ajedrez? B) No, porque es así? A) porque el tablero de ajedrez se parece al piso de la cocina B) jajajaja, entiendo, ya que pueden barrer las otras piezas"
2105,Había un pollito que respiraba por el culo se sentó y se murió
2106,Iba a contar un chiste sobre huesos… pero ne
2107,Sabes por qué la Torre de Pisa está inclinada? Porque tuvo mejores reflejos que las Torres Gemelas.
2108,cual es la parte mas dura de un vegetal? la silla de ruedas
2109,"Argentina y México se llevan bien, Argentina y México: saltamuros, narizones"
2110,Lo que me imagino cuando alguien dice que estudia arquitectura de software: Una casa de CPU
2111,"Qué le dice un huerfano a otro? Rápido Robin, subete al batimóvil"
2112,Como haría tilin si fuera una campana? Tilin tilin
2113,cual es la planta que asusta? el bam buuuu
2114,-Como es un exorcismo a la inversa? -Cuando el diablo le pide al cura que salga dentro del niño.
2115,Como le gusta lá leche a un esqueleto? TIBIA
2116,wen la boca de tu amigo sabe a la brga de tu novia: deagraciado 
2117,¿Como se llama el campeón de buceo en Japón?: Tokofondo Y ¿el sub campeón?: Kasitoko
2118,Ah pero preguntenle la tabla del 7
2119,"¿En que se parecen los géneros a las torres gemelas? En que antes eran dos, pero ahora es un tema delicado"
2120,Los del fondo se tocan
2121,"Había un hombre que entró a una tienda de antigüedadea y pregunta ""que hay de nuevo?"" Si no funcionó ahí va este Había un perro llamado 'pa dentro' Un día su dueño le dijo ""Pa fuera pa dentro"" El perro le entró confusión y explotó Fin"
2122,Cariñosas y mécanicos se apretan las manos por cobrar caro por una mamada
2123,¿Sabes en qué se parece Jesús a mi papá? Que ambos prometieron volver y nunca lo hicieron.
2124,Cuando no ganaste ninguna medalla de Tiro porque los mejores tiradores están presos.
2125,Habían tres personas calvas en un barco el barco se empezó a undir y los tres murieron por cancer
2126,Cual es el colmo de un jardinero? Que le dejen plantado
2127,"Había una vez, pero ya no hay"
2128,Muestra la foto de un zombie: Bolivia
2129,"Un loco llamado Antonio pidio una estufa por 150 dolares Llego el repartidor y le pidio 250 dolares Antonio dijo: Pero eso es una estafa El repartidor dijo: No, una estufa Chiste penca sacado de la basura xd"
2130,"Había tres tartamudos en una moto El del medio: Ja Ja Ja Ja El que maneja: De de que t-te ríes El del medio: Ja Ja Ja Jaime, se cayó ha ha hace tr-tr-tres cuadras"
2131,When estas vendiendo Deadpool 3: Mi PAPI reaction
2132,Le pongo +4 a mi compa Mi compa iraní con un c4 en la raja
2133,A ver si esto es de tu talla: incendia todo
2134,Sabéis a que se debe la oscuridad en el fondo del mar? Porque allí acaban todos los negros que no saben nadar.
2135,"Cuando se me cayó mi primer diente, se me cayeron 3 a la vez, la que conducía era mi madre."
2136,¿En qué se parecen Miguel Ángel y Kurt Cobain? En que los dos usaros sus cerebros para pintar el techo.
2137,"Quiero morir tranquilamente mientras duermo, como mi abuelo. No gritando, como los pasajeros de su autobús."
2138,Un niño de la calle se acerca a un coche que está parado en el semaforo y le dice al conductor! -Señor me regala para un vaso de leche y una rebanada de pastel? El conductor le responde pero niño siempre me piden una moneda o para un taco! Tu xq quieres para pastel y leche
2139,"Llega la mamá del Capi Pérez al doctor y pregunta: ""¿Doctor, ya me sacaron el tumor que tenía?"", A lo que el Doctor responde: ""Felicidades señora, no era un tumor, estaba embarazada y fué niño""."
2140,¿Por qué se suicidó Hitler? Porque le llegó la factura del gas.
2141,¿Cuantas mujeres se necesitan para empezar una marcha? Todas menos una
2142,P: ¿Qué pasa cuando un niño del Teletón fallece? R: Toman lo que le quedó bueno para refacciones.
2143,Todo eran risas hasta que descubrieron que el tartamudo quería jamón.
2144,"-Mamá, mamá!!! Mi hermanito se hizo caca. -Pues límpialo!!! -No mamá, se cayó de la azotea."
2145,"Mi novia, hablando de astronomía, me preguntó cómo mueren las estrellas. ""Normalmente por sobredosis"", le dije..."
2146,¿Cuál es el suavizante de telas favorito de los del Teletón?. Downy
2147,"Había una vez un pollito que se llamaba resistol, un día se callo y un chaka lo inhalo jijija desu nyan"
2148,- Como son las pruebas de embarazo en el África? Meten un bolillo a la mujer y depende si sale mordido o no!! - Como metes 50 judíos en un bocho? Para eso traen cenicero!!
2149,"Nunca lo van a sacar a caminar y el perro lo sabe, porque son dos gordos"
2150,Por qué se cayó la niña del columpio?... ... Porque no tenía manos Y por qué no se levanto?...
2151,"Profesor: Cuál fue el objeto más vendido durante los 1800?, un negro levanta la mano, el profesor responde Correcto"
2152,"Mamá, mamá ¿el abuelo es mecánico? No hijo, el abuelo no es mecánico ¿Entonces qué hace debajo del autobus?"
2153,"En que se parecen los aguacates, a los niños sin hogar de la calle???? En que los dos maduran envueltos en periodico"
2154,"Un maestro en la primaria llevo un platano y un preservativo para enseñarnos como se debe poner un condon. Saco el preservativo, y luego se empezó a comer el platano, porque dijo que con hambre nomas no se le paraba"
2155,En qué se parece un cura y un juguete fisher price? Que ambos terminan en la boca de un bebé.
2156,Un niño llega con su mamá y le dice: Mamá ya se que voy a ser cuando sea grande! Y la mamá dice:tu no vas a ser nada por qué tienes cáncer!
2157,Ese humor come en KFC y rapea como NWA
2158,"En un avión el piloto anuncia que el avión se va a estrellar y no queda ninguna esperanza de salvarse. Entonces una pasajera grita,¿Hay alguien aquí lo suficientemente hombre que me haga sentir mujer por última ves?”Entonces un hombre se quita la camisa y le dice ten plancha esto"
2159,Nunca entendí por qué en Pokémon los tipo insecto eran efectivos contra los tipo oscuro... Luego vi todos los africanos que mueren por piquetes de mosquito y tuvo sentido.
2160,Qué hacen 2 huérfanos en domino’s? Están pidiendo 2 familiares!
2161,Cuál es la diferencia entre una pizza y un judío? La pizza no llora cuando la metes al horno ;)
2162,Mi capi ya lo está esperando...¿saben que país tiene a los mejores estudiantes? Estados Unidos...porque se matan estudiando.
2163,"Yo no tengo nada en contra de los negros, es más, si pudiera compraría uno"
2164,En qué se parecen la vida y los pies?? Ninguno le dura a un diabético
2165,- Cómo reúnes a todos los niños del Teletón en el Zócalo? - Con un imán gigante.
2166,Que hace un leproso recargado en la pared ? Tirando rostro
2167,"Los chistes de humor negro son como los niños de los antivacunas, nunca se hacen viejos."
2168,En que se parece una capilla abandonada a un niño con cáncer?? Que los dos no tienen cura...
2169,"Dos compadres en un bar: - Que le vas a regalar a tu novia de San Valentin? - Un collar. - Que bonito, yo aun la llevo suelta."
2170,-A donde va un niño iraní que encuentra una bomba?? - a todas partes 😏
2171,¿Qué da más risa que un bebé muerto? -Un bebé muerto vestido de payaso.
2172,¿Qué es lo que un zombi no se come de un vegetal? La silla de ruedas 🤷🏾‍♂️😅🥇
2173,"Y como dijo Jenny Rivera: ""Te daría like pero no encuentro mi dedo"""
2174,¿Que hacen 150 epilépticos en un antro? La fiesta de espuma.
2175,"Niño:""Mamá ¿Me puedo comer una galleta?"" Mamá:""Primero lávate las manos mi vida"" Niño:""Pero mami yo no tengo manos🥺"" Mamá:""No hay galletitas 🥸"""
2176,Cómo puedes meter 1000 judíos en un vocho??? En el cenicero
2177,"¿Cómo te reconoceré? Mido 1,60 y peso 58 kgs. ¿Y yo a ti? Llevo una cinta métrica y una báscula"
2178,"Pasaron los Reyes magos por África y le preguntan a los niños ¿Ya comieron?. le responden los negritos ""NOO"" -Entonces no hay regalos!!"
2179,Que pide de deseo un niño ucraniano cuando ve una estrella fugaz??? Que sea una estrella fugaz.
2180,"""Wey, te cambio uno de 10 por dos de 5. Andale"" -2 curas, negociando."
2181,Que hace un niño del Teletón después de un terremoto? R= Buscando Brazos y piernas de su talla.
2182,"En una camioneta viaja: un Mexicano, un Boliviano y un Cubano, ¿Quién maneja la camioneta? El oficial de migración de USA 🤣🤣🤣🤣🤣"
2183,"Si un niño va caminando y se cae sólo, es porque a alguien más se le antojó"
2184,"Una vez en una videollamada con mi BFF (andando cada una en la peda), señalé una alberca a mis espaldas y le dije ""hoy quiero acabar bien Devani!"", luego hubo un ""noooo te pases"" entre risas, y luego unas carcajadas. (Todos sabemos a quién nos referimos)."
2185,"Yo no soy homofobico, porque la fobia es miedo y el miedo es de putos😅😅"
2186,"Sabes a que huele un vestidor después de los juegos olímpicos? A sudor y desodorante Ahora, sabes a que huele un vestidor después de los juegos paralímpicos? Exacto a castrol y clutch"
2187,-“Mamá en la escuela me apodaron simba” -“por qué hijo?” - “Porque mi tío mató a mi papá”
2188,José viendo como María le fue infiel con el espiritu santo
2189,"No es por defender al policía qué m4to a George Floyd ahorcandolo, pero seamos sinceros, era imposible darse cuenta que se estaba poniendo morado. 👀"
2190,"Había una familia tan pobre pero tan pobre, que cuando a la mamá le bajaba, todos cenaban moronga 🥁"
2191,"Empleado- Jefe no puedo ir a trabajar, estoy enfermo. Jefe. Enfermo? Que está haciendo o qué? Empleado - Me estoy cogiendo a mi hermana. Jefe. Oiga! Eso está muy mal!! Empleado - Le estoy diciendo que estoy enfermo. 🫡"
2192,"Desde la ""tragedia de Los Andes"" las aerolíneas en lugar de ofrecerte el menú te dan la lista de pasajeros..."
2193,Adónde van las lesbianas cuando mueren? Al infierno. Por qué? Porque al diablo le encanta el olor a torta frita.
2194,"-de quien está boquita? Y ésta naricita? Y ésta piernita? -no se, está morgue es un quilombo"
2195,"Una villera tiene 4 pibes, les pone Brian, Brian, Brian y Brian. Cómo los distingue? Los llama por el apellido"
2196,Por qué existen homófobos en pleno Siglo XXI? Porque pueden reproducirse
2197,"- Hola, ¿con la AMIA? - Si - ¿Está Sharon?"
2198,Que hace un leproso tocando la guitarra? Carne picada
2199,Que son 10 negros en una pared? Un código de barras
2200,Que hacen 10 cuadriplejicos tirándose de un piso 20? Juegan al tetris
2201,"Una adivinanza: Que es blanco y finito cuando está seco, y se hincha y se pone morado cuando se lo moja? Si, Maldonado."
2202,"El tipo esperando en el pasillo el nacimiento de su bebé. Sale el médico con el bebé y le dá los clásicos golpecitos para que llore, y le dá y le dá. El padre se levanta para ir a cagarlo a trompadas. - Tranquiiii amigo, nació muerto!"
2203,En que se diferencia una paloma de un nene sirio? La paloma vuela entera
2204,"- Papá, papá, qué es el humor negro? - Bueno, ves ese nene que va caminando por la vereda de enfrente? - Pero papá, si soy ciego! - Bueno, eso."
2205,¿Que es mejor que ganar los paralímpicos? Caminar
2206,en qué se diferencia un boy scout y un judio? en qué el boy scout si vuelve del campo
2207,Cual es el organo que se mantiene caliente dentro de una mujer recien fallecida? Mi chota
2208,Que tiene en comun una iglesia abandonada y un huérfano? Ninguno tiene papa. 
2209,"-Papá, papá ¿qué es un degenerado? -Callate y segui chupando"
2210,Sabías que una mujer inventó el wifi? Por eso hay que pegarle al router para que ande.
2211,En q se parece la apendicitis y un cura? Q no sabes cuabdo.... Perp en cualquier momento te toca
2212,Cómo matas 500 moscas de un solo golpe? Le pateas la cabeza a un nene somali muerto
2213,"Que es negro, flaco y funciona con golpes en la cabeza? Es clavo"
2214,Como saben en USA que está por empezar el año escolar? Están en oferta los chalecos de Kevlar.
2215,"Va un hombre con una nenita al monte, en cierto punto la nenita le dice, me da miedo el monte y el tipo le contesta imagínate a mi que tengo que volver solo"
2216,"Que camina a la mañana Anda en dos ruedas a la tarde Y no camina a la noche? Exacto, el Noba"
2217,¿Cual es el colmo de un paciente terminal? Tener metastasis y ser de cancer
2218,"Que es rojo, chiquito y se disuelve en la boca? El clítoris de una leprosa "
2219,Que es rosado y redondo y cada vez se pone más chiquito y color rojo? Un bebé peinándose con un pelapapas.
2220,"Una esposa dice: Mi marido no me ha puesto la mano encima nunca, el esposo está sin brazos"
2221,Cosas que pasan dijo el aduanero
2222,Vamos a organizarnos dijo el que estaba en una orgía
2223,"esta vez no me cagan, dijo el que volvía con la ex"
2224,A pelarse dijo el loco y se tiró de la moto
2225,No se si voy o vengo dijo el que se estaba hamacando
2226,yo no soy muy bueno haciendo esto dijo el cirujano
2227,No hay vuelta que darle dijo el que dormia en un muro
2228,Hay para rato dijo el que comia pasto
2229,Vamos por partes dijo Jack
2230,Que se pudra todo dijo el que desenchufo el freezer
2231,- Y como andamos? - Y 10 puntos dijo el que ligó un machetazo
2232,"Que nivel, dijo el albañil"
2233,"Vamos a ver que sale, dijo el que se estaba cogiendo a la prima"
2234,m voy a la verga dijo el forro
2235,Asi quedamos dijo el virolo
2236,-Un chiste verde y rápido Un brócoli en moto
2237,En la lucha dijo el japonés que se estaba bañando
2238,"""Todo fríamente calculado "" dijo el necrofilico"
2239,Son cosas que pasan dijo la vieja con un palo en el orto
2240,No puedo estudiar derecho dijo el jorobado
2241,Me voy yendo dijo el que tenía cáncer
2242,que se pudra todo dijo el carnicero y se fue de viaje
2243,por las dudas dijo el que llevaba forros a la casa de la prima
2244,Mala mía dijo el maluma
2245,Hay para rato dijo el loco y estaba comiendo arena
2246,Negocio redondo dijo el que vendía pelotas
2247,nunca t voyba dejar a pata dijo michetti
2248,Tá frio dijo el que tenía el huevo afuera
2249,— Hoda buapa ta tu madido en casa? — No. — Pod adómate a ved di soy yo.
2250,"Era una mujer tan chiquita, tan chiquita que en lugar de dar a luz, daba chispitas."
2251,"Anoche me caí de la cama. Menos mal que me desperté, sino está mañana me habría pisado al levantarme."
2252,"—Está usted detenido. —Mire agente, ahora me estoy moviendo. —Qué listo es el jodío..."
2253,–Camarero. Una tostada sin nada. –Marchando una tostada con mermada de melocotón.
2254,"- Hola, de qué sabores tiene los helados? - Hay un cartel en la puerta donde lo pone. - Pues deme uno de ""cerramos los lunes"""
2255,"-mamá mamá, ¿el váter da vueltas? -no hijo. -pues me cagao en la lavadora."
2256,Va un niño a la tienda del pueblo y le dice al dependiente - Ha dicho mi madre que me de una barra de pan... y si tiene huevos una docena Y SALIÓ CON UNA DOCENA DE BARRAS
2257,"En un banquete... Se levanta el padrino mu mosqueado - A VER, LOS INVITADOS DE LA NOVIA A LA DERECHA... LO INVITADOS DEL NOVIO A LA IZQUIERDA Se colocan todos en su sitio - A VER, LOS DE LA DERECHA Y LOS DE LA IZQUIERDA.... A LA PUTA CALLE.... ESTO ES UNA COMUNIÓN"
2258,"Años 50. La Guardia Civil sorprende a unos gitanos robando melos - ALTO, ¿QUIEN VIVE? - UZTEDEE, QUE TIENEN ECONOMATO (si sabéis lo que es un economato ya os han puesto la cuarta dosis de vacuna)"
2259,-¿Qué se ve desde la torre más alta de Toronto? -Torontontero.
2260,¿A qué hora sale el rápido? Ya.
2261,"Había un hombre que tenía un gato llamado Tido. Siempre que llegaba a casa, Tido, el gato, estaba metido en su cesto. Un día como otro cualquiera, el hombre llegó a casa y Tido no se encontraba en el cesto. Como se llama la peli? El cesto sin tido"
2262,Van dos globos por el desierto y le dice uno a otro - ¡¡¡¡¡cuidado con el cactussssssssss!!!!
2263,- Me sé un chiste de informáticos - ¡Pues yo MS-DOS!
2264,"Mamá, mamá ¿las aceitunas negras tienen patas? No, hijo, no. Pues me he comido una cucaracha. 🤮Cuidado con este, que con tiempo, dejará de ser un chiste. 😜"
2265,"En el confinamiento: -Nene, si cierran los supermercados habrá que ir a cazar…tú sabes dónde viven las croquetas?"
2266,—Íbamos en el todoterreno y a mi mujer le dio un espasmo muscular de esos del parto. —¿Contracción? —A las cuatro ruedas.
2267,"- Hijo, te quedó muy bonito el tatuaje de Satanás del brazo. - ¡Mamaaaaaa, es mi novia! - Ahhhh."
2268,"Un gitano que va con una furgoneta destartalada le para la guardia civil... ¡Documentación por favor!!! Ahi pallo. Ayer me la quitáis, hoy me la pedís... Al final me la vais a perdelllllll jajajajajajaja....."
2269,"- Tengo todo el cuerpo cubierto de pelo. Doctor, ¿qué padezco? - Padece uzté ud ozito."
2270,"Buenos días, me pone dos pescados de esos? De rape? Hiiiiiiiii... Me pone dos pescados de esos?"
2271,Muy buenas! Están buenas esas magdalenas? - muy buenas! Muy buenas que si están buenas esas madalenas? - muy buenas...
2272,"Camarero me pone un café, me cago en dios! -solo? Y en la virgen puta."
2273,¿Sabéis que es un cazo? Un suzezo
2274,"Cuando yo voy, tú… no sé tú, pero yo… ¡Qué lío! Ya no sé si eres tú o soy yo, pero aquí estamos. "
2275,"Chiste no apto para animalistas ni vegano. Papá papa, el gato está malo. Niño, calla y come."
2276,- Le he puesto a mi hijo gafas. - Pues que nombre más raro
2277,"Uno que va a la consulta de un adivino, llama a la puerta: - Toc, Toc. - ¿Quien es? - pues vaya mierda de adivino."
2278,- No mires así al vecino que podría ser tu padre!. - Es que está muy bueno mamá. - No me has entendido.
2279,- Ayer me dieron por detrás en el coche. - Hay mucho loco en la carretera. - No me has entendido.
2280,Tienes hora? -Si
2281,"- ¿Qué hora es? -Las 10,45 -!!Coño qué tarde!! -!!Pues haber preguntado antes!!"
2282,"-María, bajas a tomar un café? -No puedo...estoy en cama con amígdalas. -Jo, tía! Qué suerte tienes que siempre ligas con los griegos."
2283,Por qué Arnold Schwarzenegger quiere ser rodilla? Porque Sylvester Stallone.
2284,"- Mamá, mamá, en el cole me llaman bola de pelo. - Cariñoo, el perro está hablando!!"
2285,"Un niño de unos ocho años en un pueblo va caminando llevando a una vaca, se encuentra a un vecino que le pregunta; -Pedrito, a donde vas con la vaca? -A llevarla a que la monte el toro, don Vicente. - y eso no lo puede hacer tú padre? -No, tiene que ser el toro"
2286,_ ¿Cómo estornuda un tómate? _ ¡¡¡¡Kétchupppp!!!!
2287,"Dos amigas que se encuentran tras mucho tiempo - Que bonitos los trillizos que has tenido - No son trillizos, es que es un niño muy nervioso"
2288,Qué le dice una Braga a otra? - Qué coño nos ponemos hoy?
2289,[En la piscina]. — ¿Usted no nada nada? — Es que no traje traje.
2290,"— ¿Qué te ha dicho el juez? — Que 30.000 euros o a la cárcel. — No seas tonto, coge el dinero."
2291,"+Mohamed, quieres comer algo? -Es Halal ? +Mohamed, quieres jalal algo?"
2292,"- ¿Qué tal las notas, hija? + Pues unas más y otras menos, Papá. - ¿Eh? + ¿Eh?"
2293,"- Mira, por ahí viene Julián. Hazte la tonta. - ¡Adioó Juudián!"
2294,"-Tienen consoladores? -Si,en aquella pared los tiene -Deme el rojo grande ese - Señora,eso es el extintor"
2295,"- Mi gato ha matado a tu perro - Pero si es un rotweiller - Ya... y mi gato, hidráulico."
2296,-Como me toque la lotería me voy a comprar un millón de palomas -Mensajeras? -No te exagero nada
2297,"Ser piloto, no apagar la megafonía y decir: -En serio que con mi “wonderbox” puedo pilotar el avión yo solo?"
2298,"- ¿Y tu mujer grita mucho mientras hace el amor? - Buff, ya te digo, la escucho desde el bar…"
2299,"A falta de un chistecito, pues dos... y los dos de doctores, eh! - Doctor, doctor... ¡oscúlteme! - ¡Rápido, debajo de la mesa! - Doctor, que me quemé - ¿Que te que té?"
2300,"- Paco, he engordado? - cari, diga lo que te diga... Prometes no enfadarte? - si, lo prometo. - me he tirado a tu hermana"
2301,Esto di que va un barco a un muelle ¡y rebota!
2302,"- ¡Soldado López! - ¡Sí, mi capitán! - No lo vi ayer en la prueba de camuflaje. - ¡Gracias, mi capitán!"
2303,"—Hola, guapa ¿Cómo te llamas? —Jara —¡Hala, qué bonito y exótico! ¿No? —¡Jí!"
2304,"- Esto es un atraco!! Deme la cartera o la degollo! + La de Goyo por favor, la de Goyo!!"
2305,Me he comprado un vehículo con 7 plazas y para mi sorpresa estaba lleno de marroquíes. Era un morovolumen.
2306,Subid la velas!!! Y los de abajo se quedaron a oscuras.
2307,¿Cómo le gustan a Bunbury las tapas? A la plaaaaanchaaaa...
2308,Entra un gangoso a una tienda de deportes… -Me da uda zadpadtilla de depodted? +Puma? -Vendga ece cigadito!!!!
